MPS Current Set,Current B,Target B,Target MPS Set
121999.333333333,-0.467355,-0.83875,221629.086419753
121999.333333333,-0.467355,-0.910935,241332.888888889
121999.333333333,-0.467355,-0.982745,260962.641975309
121999.333333333,-0.467355,-1.054295,280518.345679012
121999.333333333,-0.467355,-1.12522,300000
142073.382716049,-0.54297,-0.61798,162073.382716049
142073.382716049,-0.54297,-0.69227,181999.333333333
142073.382716049,-0.54297,-0.76581,201851.234567901
142073.382716049,-0.54297,-0.83875,221629.086419753
142073.382716049,-0.54297,-0.910935,241332.888888889
142073.382716049,-0.54297,-0.982745,260962.641975309
142073.382716049,-0.54297,-1.054295,280518.345679012
142073.382716049,-0.54297,-1.12522,300000
162073.382716049,-0.61798,-0.69227,181999.333333333
162073.382716049,-0.61798,-0.76581,201851.234567901
162073.382716049,-0.61798,-0.83875,221629.086419753
162073.382716049,-0.61798,-0.910935,241332.888888889
162073.382716049,-0.61798,-0.982745,260962.641975309
162073.382716049,-0.61798,-1.054295,280518.345679012
162073.382716049,-0.61798,-1.12522,300000
181999.333333333,-0.69227,-0.76581,201851.234567901
181999.333333333,-0.69227,-0.83875,221629.086419753
181999.333333333,-0.69227,-0.910935,241332.888888889
181999.333333333,-0.69227,-0.982745,260962.641975309
181999.333333333,-0.69227,-1.054295,280518.345679012
181999.333333333,-0.69227,-1.12522,300000
201851.234567901,-0.76581,-0.83875,221629.086419753
201851.234567901,-0.76581,-0.910935,241332.888888889
201851.234567901,-0.76581,-0.982745,260962.641975309
201851.234567901,-0.76581,-1.054295,280518.345679012
201851.234567901,-0.76581,-1.12522,300000
221629.086419753,-0.83875,-0.910935,241332.888888889
221629.086419753,-0.83875,-0.982745,260962.641975309
221629.086419753,-0.83875,-1.054295,280518.345679012
221629.086419753,-0.83875,-1.12522,300000
241332.888888889,-0.910935,-0.982745,260962.641975309
241332.888888889,-0.910935,-1.054295,280518.345679012
241332.888888889,-0.910935,-1.12522,300000
260962.641975309,-0.982745,-1.054295,280518.345679012
260962.641975309,-0.982745,-1.12522,300000
280518.345679012,-1.054295,-1.12522,300000
300000,-1.12522,-1.056,279481.654320988
300000,-1.12522,-0.9844,259037.358024691
300000,-1.12522,-0.91101,238667.111111111
300000,-1.12522,-0.83662,218370.913580247
300000,-1.12522,-0.761575,198148.765432099
300000,-1.12522,-0.686175,178000.666666667
300000,-1.12522,-0.610385,157926.617283951
300000,-1.12522,-0.53453,137926.617283951
300000,-1.12522,-0.4587,118000.666666667
300000,-1.12522,-0.382985,98148.7654320988
300000,-1.12522,-0.30728,78370.9135802469
300000,-1.12522,-0.231755,58667.1111111112
300000,-1.12522,-0.156265,39037.3580246913
300000,-1.12522,-0.08097,19481.6543209877
300000,-1.12522,-0.006315,0
300000,-1.12522,0.068365,-19407.6049382717
300000,-1.12522,0.14271,-38741.1604938272
300000,-1.12522,0.21683,-58000.6666666667
300000,-1.12522,0.290395,-77186.1234567901
300000,-1.12522,0.36376,-96297.5308641976
300000,-1.12522,0.436695,-115334.888888889
300000,-1.12522,0.509015,-134298.197530864
300000,-1.12522,0.581025,-153187.456790123
300000,-1.12522,0.65265,-172002.666666667
300000,-1.12522,0.723705,-190743.827160494
300000,-1.12522,0.79428,-209410.938271605
300000,-1.12522,0.86435,-228004
300000,-1.12522,0.933795,-246523.012345679
300000,-1.12522,1.002505,-264967.975308642
300000,-1.12522,1.07062,-283338.888888889
279481.654320988,-1.056,-0.9844,259037.358024691
279481.654320988,-1.056,-0.91101,238667.111111111
279481.654320988,-1.056,-0.83662,218370.913580247
279481.654320988,-1.056,-0.761575,198148.765432099
279481.654320988,-1.056,-0.686175,178000.666666667
279481.654320988,-1.056,-0.610385,157926.617283951
279481.654320988,-1.056,-0.53453,137926.617283951
279481.654320988,-1.056,-0.4587,118000.666666667
279481.654320988,-1.056,-0.382985,98148.7654320988
279481.654320988,-1.056,-0.30728,78370.9135802469
279481.654320988,-1.056,-0.231755,58667.1111111112
279481.654320988,-1.056,-0.156265,39037.3580246913
279481.654320988,-1.056,-0.08097,19481.6543209877
279481.654320988,-1.056,-0.006315,0
279481.654320988,-1.056,0.068365,-19407.6049382717
279481.654320988,-1.056,0.14271,-38741.1604938272
279481.654320988,-1.056,0.21683,-58000.6666666667
279481.654320988,-1.056,0.290395,-77186.1234567901
279481.654320988,-1.056,0.36376,-96297.5308641976
279481.654320988,-1.056,0.436695,-115334.888888889
